wave,domain,task,participant_id,item_local_id,item_text_hash,dimension,score_raw,score_quality_aligned
首轮专家复核,物理,Task A,HR_526D635949A7C66B,Q8,0aa25ee2c67b459f,语言清晰度,4.0,4.0
首轮专家复核,化学,Task B,HR_1B2C382264CC8ED6,Q20,7a61a214e5c08afb,任务符合度,4.0,4.0
首轮专家复核,化学,Task C,HR_20D758CACC46A6B6,Q44,66bd26248cc2756b,语言清晰度,4.0,4.0
首轮专家复核,地理,Task A,HR_C629A4F8D732E335,Q10,c01b60c2c429d940,概念完整性,3.0,3.0
首轮专家复核,地理,Task C,HR_FB786EBEC1C53824,Q42,489943812e53de3e,任务符合度,5.0,5.0
首轮专家复核,物理,Task A,HR_526D635949A7C66B,Q11,d24be80cf330108f,误解处理质量,5.0,5.0
首轮专家复核,地理,Task B,HR_FB786EBEC1C53824,Q26,acced08a8cbcd0c0,概念完整性,5.0,5.0
首轮专家复核,地理,Task A,HR_FB786EBEC1C53824,Q13,8ed08cca4396eeea,误解处理质量,5.0,5.0
首轮专家复核,物理,Task A,HR_F9C15C012D35D196,Q15,fa6a4b4a8aaaa98d,任务符合度,5.0,5.0
首轮专家复核,地理,Task A,HR_FB786EBEC1C53824,Q18,7a6222b3d3e49d93,任务符合度,5.0,5.0
首轮专家复核,物理,Task A,HR_F9C15C012D35D196,Q11,d24be80cf330108f,事实准确性,3.0,3.0
首轮专家复核,地理,Task C,HR_5068464CE4D2544E,Q44,9c2a4da741399a54,概念完整性,4.0,4.0
首轮专家复核,化学,Task C,HR_20D758CACC46A6B6,Q38,c78c494c5e046005,语言清晰度,4.0,4.0
首轮专家复核,地理,Task A,HR_C629A4F8D732E335,Q16,13e2552913d50dda,误解处理质量,4.0,4.0
首轮专家复核,地理,Task C,HR_C629A4F8D732E335,Q35,9e83c863610e38a4,语言清晰度,3.0,3.0
首轮专家复核,地理,Task B,HR_FB786EBEC1C53824,Q20,0bced8f29002322d,事实准确性,5.0,5.0
首轮专家复核,生物,Task C,HR_67D809ADB02504BF,Q41,a2fefa9dd143783e,误解处理质量,5.0,5.0
首轮专家复核,化学,Task B,HR_20D758CACC46A6B6,Q26,8552b6945648d0e4,任务符合度,4.0,4.0
首轮专家复核,物理,Task B,HR_00B4235136407B53,Q25,801f8c9e97c81e10,任务符合度,5.0,5.0
首轮专家复核,物理,Task A,HR_00B4235136407B53,Q13,b33b5498bccabc9e,概念完整性,5.0,5.0
首轮专家复核,地理,Task A,HR_5068464CE4D2544E,Q11,d946f1c605c773ad,概念完整性,5.0,5.0
首轮专家复核,化学,Task B,HR_20D758CACC46A6B6,Q30,35966976c13e002f,误解处理质量,4.0,4.0
首轮专家复核,物理,Task C,HR_00B4235136407B53,Q37,7048c048d8838c2a,语言清晰度,3.0,3.0
首轮专家复核,物理,Task B,HR_F9C15C012D35D196,Q21,ad8b35f20cb10412,误解处理质量,4.0,4.0
