scope,dimension_code,dimension,n_items,n_judges,n_domains,n_domain_concepts,bootstrap_reps_requested,alpha_interval,alpha_interval_ci_low,alpha_interval_ci_high,alpha_interval_bootstrap_valid,icc_a1,icc_a1_ci_low,icc_a1_ci_high,icc_a1_bootstrap_valid,icc_ak,icc_ak_ci_low,icc_ak_ci_high,icc_ak_bootstrap_valid,kendall_w,kendall_w_ci_low,kendall_w_ci_high,kendall_w_bootstrap_valid
all810,fa,事实准确性,810,9,5,30,5000,0.32194217101752054,0.29088602434241173,0.3523469218739179,5000,0.33404576356197446,0.30475243368423166,0.36318484710900517,5000,0.818657994120635,0.7977767214036238,0.836943127699146,5000,0.4764014764497498,0.4478933069986463,0.5068197829348813,5000
all810,cc,概念完整性,810,9,5,30,5000,0.2845247681962788,0.25594160389140685,0.3111735794333146,5000,0.30775726566260914,0.28137489586399217,0.3330195651481294,5000,0.800048783329647,0.7789525412832001,0.8179716311207709,5000,0.5070597564325857,0.47934552515570716,0.5346751646982919,5000
all810,lc,语言清晰度,810,9,5,30,5000,0.2163658034958481,0.18632167971308072,0.2436573609621622,5000,0.24647263511280576,0.2192527846173452,0.27166410135749297,5000,0.7464391405781582,0.7165065720332108,0.7704809004926287,5000,0.45464863339104045,0.4265139577547034,0.48230493963315263,5000
all810,tf,任务符合度,810,9,5,30,5000,0.3567228502653331,0.33259357414723717,0.38006645365564895,5000,0.37162370735546335,0.3486908978337518,0.39395386545728744,5000,0.8418379239307111,0.8281291911171059,0.8540221552177617,5000,0.5356824709314462,0.516411070204832,0.5537000769812074,5000
all810,mq,误解处理质量,810,9,5,30,5000,0.302993626722442,0.27112664550793103,0.33597837019142024,5000,0.3184916155768018,0.2879980935128169,0.3502936964639854,5000,0.8079139603527697,0.7845020587606094,0.8291303070583446,5000,0.5011890988806337,0.4726338805798569,0.5314566703861191,5000
all810,risk,误导风险,810,9,5,30,5000,0.2504432945103342,0.21661192580002087,0.2817682772347089,5000,0.2750860015142735,0.24399234858202978,0.3037359926589609,5000,0.7735130710203489,0.7438945365721839,0.7970009460145322,5000,0.4523229504301884,0.4234452647911947,0.4811391792494373,5000
broad180,fa,事实准确性,180,9,5,30,5000,0.26542325355471164,0.20231670485965622,0.32271710425045,5000,0.2798945227388851,0.22049167515065418,0.33470109265480275,5000,0.7776873244697149,0.7179713792992559,0.8190947014303472,5000,0.40969429910523963,0.35951716088707425,0.4603113621770734,5000
broad180,cc,概念完整性,180,9,5,30,5000,0.23738197885174872,0.1846635150575737,0.28577710203763296,5000,0.2640991118879258,0.21595069300203842,0.3094149417623982,5000,0.7635882267433575,0.7125503322998918,0.801288757575642,5000,0.46491236776203193,0.41620428394069836,0.5101206142673101,5000
broad180,lc,语言清晰度,180,9,5,30,5000,0.1685047858641573,0.1066450051437803,0.2241804777235857,5000,0.20380077641285116,0.14793805594575402,0.25489631648569794,5000,0.6973094040890359,0.6097732028544585,0.7548332095230011,5000,0.4120227055348819,0.3547426389366321,0.46575582254177206,5000
broad180,tf,任务符合度,180,9,5,30,5000,0.2825807595161076,0.2281973362493118,0.3332489766269046,5000,0.30230527691074804,0.2512114241950623,0.35043203687252383,5000,0.7959027302057574,0.7512075221600757,0.8292163987828536,5000,0.480976925947749,0.43794772227658085,0.5217883607008136,5000
broad180,mq,误解处理质量,180,9,5,30,5000,0.2668385227306317,0.20768970942509873,0.3207306585600146,5000,0.2849509678102758,0.2286659542210581,0.3366035117715043,5000,0.7819711720620187,0.7273790291734741,0.8203554371895381,5000,0.46810027067424725,0.41431041574977,0.5209161236627394,5000
broad180,risk,误导风险,180,9,5,30,5000,0.1940793136332739,0.1371934223715753,0.2432225416917013,5000,0.22190930957502528,0.1704084747487258,0.26734896357599625,5000,0.719634689474693,0.6489642323699647,0.7665818232776324,5000,0.39499604038885444,0.34475762337928617,0.44316416527402064,5000
