judge_provider,dimension,n_complete_stimuli,all_three_exact_agreement,mean_within_item_sd,median_within_item_sd,mean_within_item_mad_from_item_mean,mean_pairwise_exact_agreement,mean_pairwise_within_one_category,mean_absolute_pairwise_difference,mean_pairwise_rmse,mean_pairwise_spearman,min_pairwise_spearman,mean_pairwise_lin_ccc,min_pairwise_lin_ccc,mean_pairwise_quadratic_weighted_kappa,icc_a1_absolute_single_measure,icc_stimulus_bootstrap_ci_low,icc_stimulus_bootstrap_ci_high,icc_stimulus_bootstrap_valid_draws,icc_concept_cluster_bootstrap_ci_low,icc_concept_cluster_bootstrap_ci_high,icc_concept_cluster_bootstrap_valid_draws,status
anthropic,fa,90,0.7,0.17320508075688776,0.0,0.13333333333333333,0.7999999999999999,1.0,0.19999999999999998,0.44573812015179043,0.856893562340619,0.832680395272786,0.8673355567999805,0.8508577447463598,0.8673273010447131,0.8685232806259233,0.8052671075001042,0.9152547057096917,2000,0.8152592001952232,0.9042480446111186,2000,complete_provider
anthropic,cc,90,0.8111111111111111,0.1090550508469293,0.0,0.08395061728395062,0.8740740740740741,1.0,0.1259259259259259,0.3525653625144635,0.8603422695291885,0.8329490412866415,0.8565051778061091,0.828731284666416,0.8564947528111838,0.8567099157117152,0.7757251950230621,0.9176387647183794,2000,0.7683235596979535,0.9188928121840301,2000,complete_provider
anthropic,lc,90,0.6777777777777778,0.19245008972987523,0.0,0.14814814814814814,0.7851851851851852,0.9925925925925926,0.2222222222222222,0.4864022736921285,0.807948300510975,0.7952028651442354,0.7866989513328019,0.7645006541648494,0.7866962964863223,0.7884729649435532,0.7084603957451321,0.8562327635827601,2000,0.7076089261798696,0.8476926204644137,2000,complete_provider
anthropic,tf,90,0.5555555555555556,0.2630151226308295,0.0,0.20246913580246914,0.7037037037037036,0.9925925925925926,0.30370370370370375,0.5622790662270587,0.84555175170923,0.815883529699425,0.8333768921247922,0.8056683547156924,0.8333527532414543,0.8355817150713181,0.7742975081222117,0.882708894733194,2000,0.7846362469576228,0.8776031183437502,2000,complete_provider
anthropic,mq,90,0.6333333333333333,0.2181101016938586,0.0,0.16790123456790124,0.7555555555555555,0.9925925925925926,0.2518518518518518,0.5160982872846455,0.7913118226764637,0.7803328108810246,0.7999772208913584,0.7782023304995493,0.7999707724729501,0.8020144596181177,0.7191921538342623,0.8630033666372782,2000,0.7099272277822299,0.8689344273292715,2000,complete_provider
anthropic,risk,90,0.7333333333333333,0.16037507477489607,0.0,0.12345679012345682,0.8222222222222223,0.9925925925925926,0.1851851851851852,0.44687716938379496,0.7855470073465521,0.7533775904715823,0.7937221637736004,0.7763035060293533,0.7937065194761729,0.7953151618398637,0.6855277137209685,0.8761319888900968,2000,0.6874244920797833,0.8740194404839747,2000,complete_provider
deepseek,fa,90,0.6666666666666666,0.2181101016938586,0.0,0.1679012345679012,0.7777777777777778,0.9703703703703704,0.2518518518518518,0.5570178760666133,0.8178133278910383,0.8013317104934197,0.8068613963942267,0.7851413678880862,0.8068581970210641,0.8082486919052017,0.7232294879782064,0.8778420286272717,2000,0.7312811284935555,0.87991778196853,2000,complete_provider
deepseek,cc,90,0.6444444444444445,0.21639120682297808,0.0,0.1654320987654321,0.7592592592592592,0.9888888888888889,0.2518518518518518,0.5234264696250714,0.7757433140662161,0.7698451843729269,0.7643786187602245,0.7552336366045402,0.7643616293460395,0.7663047335178482,0.6734031887022237,0.8408663101561619,2000,0.672188246259079,0.8401661280758566,2000,complete_provider
deepseek,lc,90,0.7444444444444445,0.14754506879290438,0.0,0.11358024691358022,0.8296296296296296,1.0,0.1703703703703704,0.4125597871949585,0.737885241050562,0.7230872496261677,0.7288342674269971,0.7122365417580759,0.7288216913875886,0.7311178247734138,0.6252970660253275,0.8223020671339041,2000,0.6218300098071267,0.8162684450168516,2000,complete_provider
deepseek,tf,90,0.6666666666666666,0.20825730896110164,0.0,0.1580246913580247,0.7703703703703703,0.9851851851851853,0.24444444444444446,0.5215327846068192,0.8239396892748387,0.8052485375148082,0.8075796483982391,0.7793005799843845,0.8075791258886199,0.8088243831640058,0.7242646343521927,0.872942605382575,2000,0.7071817134153184,0.8918304986737723,2000,complete_provider
deepseek,mq,90,0.5666666666666667,0.27584512861282123,0.0,0.21234567901234566,0.7111111111111111,0.9703703703703703,0.3185185185185185,0.6130254382807476,0.8239660312983176,0.8006191104024364,0.8276291036541403,0.8000019753135202,0.8276277253498211,0.8290331085916607,0.7581506799185656,0.8822198908470196,2000,0.7570520998354768,0.8828830533608124,2000,complete_provider
deepseek,risk,90,0.7333333333333333,0.1650711828950113,0.0,0.1259259259259259,0.8185185185185185,0.9888888888888889,0.19259259259259262,0.4624849248732866,0.7788776331865138,0.762554557388164,0.7729388442700157,0.7530107121470863,0.7729184000574189,0.7739732025571417,0.6641152529239454,0.8562098199354822,2000,0.649705731568564,0.856882223026278,2000,complete_provider
doubao,fa,90,0.7,0.20825730896110164,0.0,0.1580246913580247,0.7925925925925926,0.9629629629629629,0.24444444444444446,0.5631350437842517,0.8057375312722749,0.7586016598158533,0.8061105007487667,0.7612465147248539,0.8061047408261084,0.8087934049462904,0.7124606937832878,0.8839340930348539,2000,0.7236015309620345,0.8834954642115908,2000,complete_provider
doubao,cc,90,0.6888888888888889,0.18431619186799886,0.0,0.14074074074074075,0.7888888888888889,0.9962962962962963,0.2148148148148148,0.47130623468900684,0.7321638362709444,0.7258839618099522,0.7488562980751494,0.7273018799855689,0.748825724932114,0.7512808570097811,0.6301525827255147,0.8342925225029785,2000,0.6465466052871696,0.8368741063188185,2000,complete_provider
doubao,lc,90,0.7111111111111111,0.1825972969971183,0.0,0.1382716049382716,0.8000000000000002,0.9851851851851853,0.2148148148148148,0.4940718442527994,0.6557647114696378,0.6362158737073357,0.6356787853470193,0.6037312835295061,0.6356323698006844,0.6393221171558393,0.5010677520436962,0.7575033971707303,2000,0.5108072558549993,0.74367125222945,2000,complete_provider
doubao,tf,90,0.5333333333333333,0.2946295610932823,0.0,0.2222222222222222,0.674074074074074,0.9777777777777779,0.34814814814814815,0.6251846724240351,0.8082532386075906,0.7731394764161196,0.8119709315104888,0.7806426819423348,0.8119333397392978,0.8132842496932274,0.741017840558671,0.8684946040916031,2000,0.7396422504871865,0.8694757463084632,2000,complete_provider
doubao,mq,90,0.4888888888888889,0.32326678630650035,0.5773502691896257,0.24197530864197533,0.637037037037037,0.9777777777777777,0.38518518518518524,0.6550067347102266,0.7921815809868633,0.7616353218921974,0.8097288230579432,0.7913926695920271,0.8097158737435777,0.8114544524800935,0.7295112354686455,0.866723680946269,2000,0.7383767616175444,0.8611486204961336,2000,complete_provider
