judge_provider,dimension,replicate_pair,n_stimuli,exact_agreement,within_one_category,mean_absolute_difference,rmse,spearman_rho,lin_ccc,quadratic_weighted_kappa
anthropic,fa,1-2,90,0.7777777777777778,1.0,0.2222222222222222,0.4714045207910317,0.8446102312939203,0.8508577447463598,0.8508452104739808
anthropic,fa,1-3,90,0.7777777777777778,1.0,0.2222222222222222,0.4714045207910317,0.832680395272786,0.8551779877407684,0.8551657547473447
anthropic,fa,2-3,90,0.8444444444444444,1.0,0.15555555555555556,0.39440531887330776,0.8933900604551507,0.8959709379128132,0.8959709379128138
anthropic,cc,1-2,90,0.8444444444444444,1.0,0.15555555555555556,0.39440531887330776,0.8329490412866415,0.828731284666416,0.8287112561174551
anthropic,cc,1-3,90,0.8666666666666667,1.0,0.13333333333333333,0.3651483716701107,0.8556285479580167,0.8496711808412566,0.8496659242761693
anthropic,cc,2-3,90,0.9111111111111111,1.0,0.08888888888888889,0.29814239699997197,0.8924492193429073,0.8911130679106545,0.8911070780399274
anthropic,lc,1-2,90,0.7777777777777778,1.0,0.2222222222222222,0.4714045207910317,0.8027617343114717,0.7916707390470115,0.7916666666666666
anthropic,lc,1-3,90,0.8111111111111111,0.9888888888888889,0.2,0.4714045207910317,0.825880302077218,0.8039254607865448,0.803921568627451
anthropic,lc,2-3,90,0.7666666666666667,0.9888888888888889,0.24444444444444444,0.5163977794943222,0.7952028651442354,0.7645006541648494,0.7645006541648496
anthropic,tf,1-2,90,0.6666666666666666,0.9888888888888889,0.34444444444444444,0.6055300708194983,0.815883529699425,0.8056683547156924,0.8056537102473498
anthropic,tf,1-3,90,0.7555555555555555,1.0,0.24444444444444444,0.4944132324730442,0.8886432348673031,0.876552926277051,0.8765432098765432
anthropic,tf,2-3,90,0.6888888888888889,0.9888888888888889,0.32222222222222224,0.5868938953886337,0.8321284905609618,0.8179093953816329,0.81786133960047
anthropic,mq,1-2,90,0.7555555555555555,1.0,0.24444444444444444,0.4944132324730442,0.8007298808071586,0.8108916943295953,0.8108882521489971
anthropic,mq,1-3,90,0.7444444444444445,0.9888888888888889,0.26666666666666666,0.5374838498865699,0.7803328108810246,0.7782023304995493,0.7781990521327015
anthropic,mq,2-3,90,0.7666666666666667,0.9888888888888889,0.24444444444444444,0.5163977794943222,0.7928727763412079,0.8108376378449306,0.8108250131371518
anthropic,risk,1-2,90,0.8444444444444444,0.9888888888888889,0.16666666666666666,0.4346134936801766,0.7957995880675568,0.8009379260096665,0.8009367681498829
anthropic,risk,1-3,90,0.8111111111111111,1.0,0.18888888888888888,0.4346134936801766,0.8074638435005176,0.8039250592817818,0.8038964368110741
anthropic,risk,2-3,90,0.8111111111111111,0.9888888888888889,0.2,0.4714045207910317,0.7533775904715823,0.7763035060293533,0.7762863534675615
deepseek,fa,1-2,90,0.8333333333333334,0.9555555555555556,0.2111111111111111,0.5477225575051661,0.8295573476936529,0.8122454971835656,0.8122392211404729
deepseek,fa,1-3,90,0.7444444444444445,0.9666666666666667,0.28888888888888886,0.5962847939999439,0.8013317104934197,0.7851413678880862,0.7851387645478962
deepseek,fa,2-3,90,0.7555555555555555,0.9888888888888889,0.25555555555555554,0.5270462766947299,0.8225509254860421,0.823197324111028,0.8231966053748232
deepseek,cc,1-2,90,0.7666666666666667,0.9888888888888889,0.24444444444444444,0.5163977794943222,0.7752394153310467,0.7676566773126283,0.7676419965576592
deepseek,cc,1-3,90,0.7444444444444445,0.9888888888888889,0.26666666666666666,0.5374838498865699,0.7698451843729269,0.7552336366045402,0.7552301255230126
deepseek,cc,2-3,90,0.7666666666666667,0.9888888888888889,0.24444444444444444,0.5163977794943222,0.7821453424946747,0.7702455423635048,0.7702127659574468
deepseek,lc,1-2,90,0.8444444444444444,1.0,0.15555555555555556,0.39440531887330776,0.7592701666678354,0.7535276780358023,0.7535211267605634
deepseek,lc,1-3,90,0.8222222222222222,1.0,0.17777777777777778,0.4216370213557839,0.7230872496261677,0.7207385824871129,0.7207137315748642
